ID,Section,SubGroup,Checkpoint,Subcheck Label,Green (Tier 0 - Normal),Orange (Tier 1 - Needs Attention),Red (Tier 2 - Fault/Defect),Review Note
3.7-NO4,Boiler & Economizer Area,,E/R Ventilation Fans (NO 4),Noise / Vibration,NO abnormal noise / vibration,Minor noise / vibration,Excessive noise / vibration,a duplicate/stray subcheck from the source row was dropped here
3.8,Boiler & Economizer Area,,E/R Funnel Dampers,,OK,Needs Attention,N/A,
3.9-NO1,Boiler & Economizer Area,,"GE SCR Reactors, Nozzles and Pump Unit (NO 1)",,Running Normally,Standby / Stopped,Fault / Abnormal,
3.9-NO2,Boiler & Economizer Area,,"GE SCR Reactors, Nozzles and Pump Unit (NO2)",,Running Normally,Standby / Stopped,Fault / Abnormal,
4.1-NO1,Steering Gear Room,,Aft Mooring Winch Hydraulic Pump Unit (NO 1),,Running Normally,Standby / Stopped,Fault / Abnormal,
4.1-NO2,Steering Gear Room,,Aft Mooring Winch Hydraulic Pump Unit (NO2),,Running Normally,Standby / Stopped,Fault / Abnormal,
4.2,Steering Gear Room,,Water Mist Pump Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
4.3,Steering Gear Room,,Steering Gear and Autopilot Panels,,OK - No Alarms,Alarm Active,Fault,
4.4,Steering Gear Room,,Steering Gear Hydraulic Tanks,,OK,Needs Attention,N/A,
4.5,Steering Gear Room,,Steering Gear Rams and Packing Leakage,,Normal Leak,Minor Leak,Leak - Action Req'd,
4.6,Steering Gear Room,,Steering Gear Ram Pin and Linkage Grease,,Adequately Greased,Needs Greasing,Dry / Ungreased - Risk of Seizure,INFERRED Red (source left blank)
4.7,Steering Gear Room,,Steering Gear Hydraulic Oil Filter Differential,,Clean / Normal DP,High Differential,Bypassed,
4.8,Steering Gear Room,,Steering Gear Rudder Carrier Oil Level.,,Normal Level,Low or High Level,Not Readable -  No Oil,
4.9-NO1,Steering Gear Room,,Steering Gear Hydraulic Pumps and Motor (NO 1),,Running Normally,Standby / Stopped,Fault / Abnormal,
4.9-NO2,Steering Gear Room,,Steering Gear Hydraulic Pumps and Motor (NO2),,Running Normally,Standby / Stopped,Fault / Abnormal,
4.10,Steering Gear Room,,Grease Pump Station,,Adequately Grease Level - AUTO,Needs Grease,"Off, Manual Mode",
4.11,Steering Gear Room,,Emergency Fire Pump,,Auto Standby - Suction Valve Open,Not ready,Fault / Abnormal,
4.12,Steering Gear Room,,"Chemicals, Lub Oil and Grease Storage Area.",,Clean - In order  -Secured,Needs Attention,Leakage,
5.1.1-NO1,Engine Upper Deck,Incinerator,Incinerator Unit (NO 1),,Running Normally ,Standby / Stopped,Fault / Abnormal,
5.1.1-NO2,Engine Upper Deck,Incinerator,Incinerator Unit (NO2),,Running Normally ,Standby / Stopped,Fault / Abnormal,
5.1.2,Engine Upper Deck,Incinerator,Incinerator WOT,,Level Check - Temperature Normal,Standby / Stopped,Fault / Abnormal,
5.1.3,Engine Upper Deck,Incinerator,Incinerator MGO Tk,,Level Check - Normal,Needs Filling,Fault / Abnormal -  Leaks,
5.2,Engine Upper Deck,Incinerator,Calorifier Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
5.3,Engine Upper Deck,Incinerator,UV Sterilization  Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
5.4,Engine Upper Deck,Incinerator,Hydrophore Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
5.5,Engine Upper Deck,Incinerator,SCR Air Compressor Unit and Air Bottle,,Running Normally,Standby / Stopped,Fault / Abnormal,
5.6,Engine Upper Deck,Incinerator,Working Air Compressor Unit and Air Bottle,,Running Normally,Standby / Stopped,Fault / Abnormal,
5.7,Engine Upper Deck,Incinerator,SCR Air Dryer Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
5.8,Engine Upper Deck,Incinerator,ME SCR Pump Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
5.9,Engine Upper Deck,Incinerator,ME SCR Reactor,,OK,Needs Attention,N/A,
5.10,Engine Upper Deck,Incinerator,ME and GE SCR Panel,,OK - No Alarms,Alarm Active,Fault,
5.11.1,Engine Upper Deck,Tanks,Urea Tank and Urea Emergency Water Wash Area,,Level Normal,Level Low - Level High,Overflow - ,
5.11.2,Engine Upper Deck,Tanks,ME Cylinder Oil Tank (LS),,Level Normal,Level Low - Level High,Level High,
5.11.3,Engine Upper Deck,Tanks,ME Cylinder Oil Tank (HS),,Level Normal,Level Low - Level High,Level High,
5.11.4,Engine Upper Deck,Tanks,FO Service Tank no. 1,,Level Normal -  Temperature Normal,Level Low - Level High,Empty,
5.11.5,Engine Upper Deck,Tanks,FO Service Tank no. 2,,Level Normal -  Temperature Normal,Level Low - Level High,Empty,
5.11.6,Engine Upper Deck,Tanks,FO Settling Tank,,Level Normal -  Temperature Normal,Level Low - Level High,Level High,
5.11.7,Engine Upper Deck,Tanks,MGO Service Tank,,Level Normal -  Temperature Normal,Level Low,Level High,
5.11.8,Engine Upper Deck,Tanks,ME Cylinder Oil Measuring Tank,,Level Normal,Level Low,Level High,
5.12,Engine Upper Deck,Tanks,Steam Distribution Valves,,Open,Closed,Set as Required,
5.13,Engine Upper Deck,Tanks,ME SCR Nozzle,,Normal,Needs Attention,Fault,
5.14,Engine Upper Deck,Tanks,Sea Chest Remote Pump / Indicator,,Running Normally,Standby / Stopped,Fault / Abnormal,
5.15,Engine Upper Deck,Tanks,UPS Batteries,,OK / Charged,Low Charge,Fault,
5.16,Engine Upper Deck,Tanks,Water Softener Area,,Clean / Tidy,Needs Attention,N/A,
6.1,Engine Lower Deck,,Cylinder Oil Heating Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.2,Engine Lower Deck,,ME SCR Valves and EGB,,Normal Position,Needs Adjustment,Set as Required,INFERRED Orange (source left blank)
6.3,Engine Lower Deck,,ME Turbocharger,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.4,Engine Lower Deck,,ME Cylinder Heads,,Normal,Needs Attention,Fault,
6.5,Engine Lower Deck,,ME HCUs,,Normal,Needs Attention,Fault,
6.6,Engine Lower Deck,,"ME Liner, JCW, Starting Air Piping",,Normal,Needs Attention,Fault,
6.7.1,Engine Lower Deck,BWTS Area,BWTS Backwash Filter Unit and Pumps,,Clean / Normal DP,High Differential,Bypassed,
6.7.2,Engine Lower Deck,BWTS Area,BWTS Panels,,OK - No Alarms,Alarm Active,Fault,
6.7.3,Engine Lower Deck,BWTS Area,BWTS Air Pumps,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.7.4,Engine Lower Deck,BWTS Area,BWTS TRO Sensor Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.7.5,Engine Lower Deck,BWTS Area,BWTS Power Supply Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.8,Engine Lower Deck,BWTS Area,Control Air Reservoir,,Level Normal,Level Low,Level High,
6.9,Engine Lower Deck,BWTS Area,Air Reducing Valve Units,,Open,Closed,Set as Required,
6.10,Engine Lower Deck,BWTS Area,Emergency Air Reservoir,,Level Normal,Level Low,Level High,
6.11,Engine Lower Deck,BWTS Area,Emergency Air Compressor,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.12-NO1,Engine Lower Deck,BWTS Area,Main Air Compressors (NO 1),,Running Normally,Standby / Stopped,Fault / Abnormal,
6.12-NO2,Engine Lower Deck,BWTS Area,Main Air Compressors (NO2),,Running Normally,Standby / Stopped,Fault / Abnormal,
6.13,Engine Lower Deck,BWTS Area,Main Air Reserovoirs,,OK,Needs Attention,N/A,
6.14.1,Engine Lower Deck,Tanks,MGO Storage Tank,,Level Normal,Level Low,Level High,
6.14.2,Engine Lower Deck,Tanks,GE Sys Oil Storage Tank,,Level Normal,Level Low,Level High,
6.14.3,Engine Lower Deck,Tanks,GE Sys Oil Settling Tank,,Level Normal,Level Low,Level High,
6.15,Engine Lower Deck,Tanks,Boiler Atmospheric Condenser,,OK,Needs Attention,N/A,
6.16,Engine Lower Deck,Tanks,Boiler Hotwell Tank,,Level Normal,Level Low,Level High,
6.18.1,Engine Lower Deck,Generator Engines,GE no. 1,,"Standby Ready  / In AUTO Temperatures NORMAl - Pressures NORMAL - NO Leakages - Sump Tank Level OK - RPM, Frequency, Vibrations OK","Stopped / In Manual Temperatures Deviation - Pressures Deviation - Minor Leakages - Sump Tank High - RPM, Frequency, Vibrations Observed Deviation",Fault / Abnormal / Tripped - Inoperable,
6.18.2,Engine Lower Deck,Generator Engines,GE no. 2,,"Standby Ready  / In AUTO Temperatures NORMAl - Pressures NORMAL - NO Leakages - Sump Tank Level OK - RPM, Frequency, Vibrations OK","Stopped / In Manual Temperatures Deviation - Pressures Deviation - Minor Leakages - Sump Tank High - RPM, Frequency, Vibrations Observed Deviation",Fault / Abnormal / Tripped - Inoperable,
6.18.3,Engine Lower Deck,Generator Engines,GE no. 3,,"Standby Ready  / In AUTO Temperatures NORMAl - Pressures NORMAL - NO Leakages - Sump Tank Level OK - RPM, Frequency, Vibrations OK","Stopped / In Manual Temperatures Deviation - Pressures Deviation - Minor Leakages - Sump Tank High - RPM, Frequency, Vibrations Observed Deviation",Fault / Abnormal / Tripped - Inoperable,
6.19,Engine Lower Deck,Generator Engines,GE Jacket Heater Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.20,Engine Lower Deck,Generator Engines,Sewage Treatment Plant,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.21,Engine Lower Deck,Generator Engines,Boiler Fuel Pump Supply Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.23.1,Engine Lower Deck,Purifiers,ME LO Purifier,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.23.2,Engine Lower Deck,Purifiers,GE LO Purifier,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.23.3,Engine Lower Deck,Purifiers,No. 1 FO Purifer,,OK,Needs Attention,N/A,
6.23.4,Engine Lower Deck,Purifiers,No. 2 FO Purifer,,OK,Needs Attention,N/A,
6.25.1,Engine Lower Deck,FO Supply Unit,FO Supply Pumps,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.25.2,Engine Lower Deck,FO Supply Unit,FO Booster Pumps,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.25.3,Engine Lower Deck,FO Supply Unit,Fuel Heater / Cooler,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.25.4,Engine Lower Deck,FO Supply Unit,FO Autobackwash Filter Unit,,Clean / Normal DP,High Differential,Bypassed,
6.26,Engine Lower Deck,FO Supply Unit,Fresh Water Generator,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.27,Engine Lower Deck,FO Supply Unit,Central FW Coolers,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.28,Engine Lower Deck,FO Supply Unit,ME Lube Oil Cooler,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.29,Engine Lower Deck,FO Supply Unit,ME Lube Oil Autobackwash Filters,,Clean / Normal DP,High Differential,Bypassed,
6.30,Engine Lower Deck,FO Supply Unit,ME Jacket Pre-heater Pump,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.31,Engine Lower Deck,FO Supply Unit,ME LT Cooling Water Pumps,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.32-NO1,Engine Lower Deck,FO Supply Unit,LTCW Temperature Contol Valve (NO 1),,Open,Closed,Set as Required,
6.32-NO2,Engine Lower Deck,FO Supply Unit,LTCW Temperature Contol Valve (NO 2),,Open,Closed,Set as Required,
6.32-NO3,Engine Lower Deck,FO Supply Unit,LTCW Temperature Contol Valve (NO 3),,Open,Closed,Set as Required,
6.33-NO1,Engine Lower Deck,FO Supply Unit,HTCW Temperature Control Valve (NO 1),,Open,Closed,Set as Required,
6.33-NO2,Engine Lower Deck,FO Supply Unit,HTCW Temperature Control Valve (NO 2),,Open,Closed,Set as Required,
6.34,Engine Lower Deck,FO Supply Unit,ME Jacket Cooling Pumps,,Running Normally,Standby / Stopped,Fault / Abnormal,
6.35,Engine Lower Deck,FO Supply Unit,ME Jacket Preheater Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
7.1,ME Scavenging Air Deck,,ME Local Operating Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
7.2,ME Scavenging Air Deck,,ME Spring Air and Control Air,,OK,Needs Attention,N/A,
7.3,ME Scavenging Air Deck,,ME Pressure and Temperature Transmitters,,Normal Reading,Abnormal Reading,Not Readable,
7.4,ME Scavenging Air Deck,,ME Local Gauges,,Normal Reading,Abnormal Reading,Not Readable,
7.5,ME Scavenging Air Deck,,ME Scavenging Air Receiver and Lanterns,,OK,Needs Attention,N/A,
7.6,ME Scavenging Air Deck,,"ME ECU, CCU, and ACU Panels",,OK - No Alarms,Alarm Active,Fault,
7.7,ME Scavenging Air Deck,,ME HPS LO Filter Unit,,Clean / Normal DP,High Differential,Bypassed,
7.8,ME Scavenging Air Deck,,ME Air Cooler Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
8.1,ER Lower Floor,,FO Transfer Pump,,Standby / Stopped,Running - Needs Monitoring,Fault / Abnormal,
8.2,ER Lower Floor,,MGO Transfer Pump,,Standby / Stopped,Running - Needs Monitoring,Fault / Abnormal,
8.3,ER Lower Floor,,FWG Ejector Pump,,Running Normally,Standby / Stopped,Fault / Abnormal,
8.4,ER Lower Floor,,High Sea Chest,,In service (Open) - Standby Closed,Minor Leakages,Major Leakage,
8.5,ER Lower Floor,,Urea Drain Tank and Transfer Pumps,,Level Normal,Level Low,Level High,
8.6,ER Lower Floor,,MGPS Panel,,OK - No Alarms,Alarm Active,Fault,
8.7-NO1,ER Lower Floor,,Cooling SW Pumps (NO 1),,Running Normally,Standby / Stopped,Fault / Abnormal,
8.7-NO2,ER Lower Floor,,Cooling SW Pumps (NO 2),,Running Normally,Standby / Stopped,Fault / Abnormal,
8.7-NO3,ER Lower Floor,,Cooling SW Pumps (NO 3),,Running Normally,Standby / Stopped,Fault / Abnormal,
8.8,ER Lower Floor,,Bilge Well STBD,,Dry / Clean,Wet,Oily - Action Req'd,
8.9,ER Lower Floor,,Emergency Bilge Suction,,OK,Needs Attention,N/A,
8.10-NO1,ER Lower Floor,,Ballast Pumps (NO 1),,Running Normally,Standby / Stopped,Fault / Abnormal,
8.10-NO2,ER Lower Floor,,Ballast Pumps (NO 2),,Running Normally,Standby / Stopped,Fault / Abnormal,
8.11-NO1,ER Lower Floor,,"Fire, Bilge, GS Pumps (NO 1)",,Running Normally,Standby / Stopped,Fault / Abnormal,
8.11-NO2,ER Lower Floor,,"Fire, Bilge, GS Pumps (NO 2)",,Running Normally,Standby / Stopped,Fault / Abnormal,
8.12,ER Lower Floor,,Bilge Well PORT,,Dry / Clean,Wet,Oily - Action Req'd,
8.13,ER Lower Floor,,OWS Unit,,Running Normally,Auto Standby / Stopped,Fault / Abnormal,
8.14,ER Lower Floor,,ICCP Panel,,OK - No Alarms,Alarm Active,Fault,
8.15,ER Lower Floor,,Boiler Chemical Feed Tank,,Level Normal,Level Low,Level High,
8.16,ER Lower Floor,,Low Sea Chest,,In service (Open) - Standby Closed,Minor Leakages,Major Leakage,
8.17,ER Lower Floor,,LO Transfer Pumps,,Standby / Stopped,Running - Needs Monitoring,Fault / Abnormal,
8.18.1,ER Lower Floor,,ME LO Purifier Supply Pump Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
8.18.2,ER Lower Floor,,GE LO Purifier Supply Pump Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
8.19,ER Lower Floor,,Daily Bilge Pump,,Standby / Stopped,Running - Needs Monitoring,Fault / Abnormal,
8.20,ER Lower Floor,,ME Vibration Meter,,Normal Reading,Abnormal Reading,Not Readable,
8.21,ER Lower Floor,,ME Crankcase Doors,,Secured / Normal,Needs Attention,Open / Unsecured - Safety Hazard,INFERRED Red (source left blank)
8.22,ER Lower Floor,,ME LO Flow Check,,OK,Needs Attention,N/A,
8.23,ER Lower Floor,,ME Oil Mist Detector Units,,Running Normally,Standby / Stopped,Fault / Abnormal,
8.24,ER Lower Floor,,ME HPS Pumps and High Pressure Hoses,,Running Normally,Standby / Stopped,Fault / Abnormal,
8.25,ER Lower Floor,,ER Tanktop Port side,,Dry / Clean,Wet,Oily - Action Req'd,
8.26,ER Lower Floor,,ME LO Pumps,,Running Normally,Standby / Stopped,Fault / Abnormal,
8.27,ER Lower Floor,,ME Flywheel Underneath Bilge Well and Tank Top,,Level Normal,Level Low,Level High,
8.28,ER Lower Floor,,ME Turning Gear and Panel,,OK - No Alarms - Disengaged,Running and Engaged - Needs Monitoring,Fault,
8.29,ER Lower Floor,,Air Cooler Drain Pump and OCM,,Running Normally,Standby / Stopped,Fault / Abnormal,
8.30,ER Lower Floor,,Stern Tube LO Aft Seal Tank,,Level Normal,Level Low,Level High,
8.31,ER Lower Floor,,Stern Tube LO Pumps,,Running Normally,Standby / Stopped,Fault / Abnormal,
8.32,ER Lower Floor,,Stern Tube Air Seal Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
8.33,ER Lower Floor,,ME Shaft Grounding Unit,,Running Normally,Standby / Stopped,Fault / Abnormal,
8.34,ER Lower Floor,,Intermediate Shaft,,Normal Oil Flow and Level,Low Oil level - Needs Attention,Fault,
8.35,ER Lower Floor,,Stern Tube Forward Seal Tank,,Level Normal,Level Low,Level High,
8.36,ER Lower Floor,,Grey Water and Sewage Overboard Storm Valve,,Set as Required,Leakage - needs attention,In Port OPEN -  to close and lock,
8.37,ER Lower Floor,,Bilge Well AFT,,Dry / Clean,Wet,Oily - Action Req'd,
8.38,ER Lower Floor,,Aft Tank Top,,Dry / Clean,Wet,Oily - Action Req'd,
8.39,ER Lower Floor,,Sludge Pump,,Standby / Stopped,Running - Needs Monitoring,Fault / Abnormal,
8.40,ER Lower Floor,,Air Cooler Water mist catcher and drains,,Running Normally,Standby / Stopped,Fault / Abnormal,
8.41,ER Lower Floor,,ER Tanktop Stbd side.,,Dry / Clean,Wet,Oily - Action Req'd,
9.1,Engine Workshop and Spare Room,,Welding Area,,Clean / Tidy,Needs Attention,N/A,
9.2,Engine Workshop and Spare Room,,"Grinding Machines, Lathe machines and Drilling Machines",,Clean / Tidy,Needs Attention,N/A,
9.3,Engine Workshop and Spare Room,,Tools Panel and Storage,,Clean / Tidy - Secured,Needs Attention,N/A,
9.4,Engine Workshop and Spare Room,,Spare Parts Rack and Locker,,Clean / Tidy - Secured,Needs Attention,N/A,
9.5,Engine Workshop and Spare Room,,Bunker Sample Locker,,Clean / Tidy - Secured,Needs Attention,N/A,
9.6,Engine Workshop and Spare Room,,Large Spares and Objects,,Clean / Tidy - Secured,Needs Attention,N/A,
9.7,Engine Workshop and Spare Room,,Electrical Workshop,,Clean / Tidy,Needs Attention,N/A,
9.8,Engine Workshop and Spare Room,,Electical Spare Rack,,Clean / Tidy,Needs Attention,N/A,
9.9,Engine Workshop and Spare Room,,ER Ventilation Fan Panel,,OK / No Alarms,Alarm Active,Fault,
10.1,Engine Control Room,,AMS Alarms,,OK / No Alarms,Minor Alarm Active,Fault -  Major Alarms,
10.2,Engine Control Room,,AMS Scan Mimic Pages,,OK /  Readings in Range,Minor Deviations,Major Deviations,
10.3,Engine Control Room,,Valve Remote Control Screen,,OK - No Alarms,Minor Alarm Active,Fault -  Major Alarms,
10.4,Engine Control Room,,Main Switch Board,,OK / No Alarms - Generators in Auto Standby  SET - All Starters Set in AUTO - 220V Insulation OK - 440V Insulation OK,Alarm Active - Generator NOT in standby - 220V Insulation Low - 440V Insulation Low,Fault - Generator MSB Alarm -  220V Insulation ZERO- 440V Insulation ZERO,
10.5,Engine Control Room,,Engine Control Console,,OK - No Alarms - ME RPM set OK - ME Load OK,Alarm Active - ME Load too high - ME load too low,Fault -  Major Alarms - Slowdown / Shut down present,
